vocal_channel,emotion,emotional_intensity,statement,repetition,sex,length_ms,zero_crossings_sum,mfcc_mean,mfcc_max,sc_std,sc_min,sc_max,stft_std,stft_min,stft_kur,kur,skew,PCA1,PCA2,PCA3
speech,fearful,normal,Dogs are sitting by the door,2nd,F,-0.5941700022047526,1.1200549976941327,-1.0613986332300038,-1.0562262855634605,0.03176399581771068,-1.0884694029008997,1.702658776313864,0.2041310633848301,-0.47051743288632863,0.22554535558387043,-0.1125040826359178,0.7080750922158016,0.12399619497186852,0.38415795558407734,-1.028743728579549
speech,angry,normal,Dogs are sitting by the door,1st,F,-0.31504446315935936,0.2767035782422865,-0.16738536528956743,0.2253068393594268,1.0614746437172464,-1.0884694029008997,0.16972163901545412,0.8662607670214981,-0.47051743288632863,-0.6654131719381254,1.3465048059656146,0.7498753239831466,0.8895973106583399,-0.47147188408373114,-1.2293984974993308
song,happy,strong,Dogs are sitting by the door,2nd,F,0.9669273239533146,1.5918294401715656,-0.3986073199641333,-1.2960326923857293,0.03825750740290491,-1.0884694029008997,0.1771401145753789,0.862012700559632,-0.47051743288632863,0.0844520587587447,-1.2191164038189959,0.7729746379332968,1.3320203850717376,0.9333474722176841,-1.000481589350771
speech,surprised,normal,Kids are talking by the door,1st,F,-0.7613110435492993,-0.34823374747000746,-1.6389419773454788,-0.35057756929071143,1.0781637681450416,-1.0884694029008997,0.21738361181433155,1.1761030386209224,-0.47051743288632863,-1.0106264623075953,0.5141372814346297,-0.07093986527428016,-2.3274975057585516,1.2216138504996619,-1.1113897901604486
song,happy,strong,Dogs are sitting by the door,2nd,F,0.5206607435633747,0.6127882649840225,-0.5946368512739606,-1.462299221698374,0.21148389393253686,-1.0884694029008997,0.19487065766998696,0.7999117796362506,-0.47051743288632863,-0.5693833731869041,-0.5228290243914105,1.0197946819236978,1.5732273181926113,0.13135188893278485,-0.6523348887101891
speech,fearful,normal,Dogs are sitting by the door,2nd,F,-0.8732955412501457,-0.20462648083625185,-0.3915217989573982,0.5589615401699073,0.7814501248812897,-1.0884694029008997,0.2322756361828468,0.5902009755610873,-0.47051743288632863,0.7929833943653307,0.4736035131767661,0.16925286359253378,1.158678660290325,1.9278066545317862,-0.9667407443054234
speech,angry,normal,Dogs are sitting by the door,1st,F,-0.5390134585610521,0.3676184447613751,-0.3188764704042424,1.1222917109461474,1.0191252236558541,-1.0884694029008997,1.004899453124746,0.6520433112876963,-0.47051743288632863,-0.8995346399020179,0.6948219048770761,0.1318658760341014,-0.8100047297416065,-0.6860537680373687,-0.6924115726813714
speech,neutral,normal,Dogs are sitting by the door,2nd,F,-1.095593126238393,-0.47655202754199444,-1.636478180071361,0.8167473019373857,0.6478112453318099,-1.0884694029008997,0.16943896810729484,-0.09257038063499524,-0.47051743288632863,-0.2529502501836582,0.23230852102319052,0.5721400632305792,-3.4178737049368184,0.0849428047328008,-0.7889719624869966
speech,calm,normal,Dogs are sitting by the door,1st,F,-0.5390134585610521,0.6553790132632352,-1.1541735378363716,0.32625732858336665,1.0268306663732927,-1.0884694029008997,0.25047847430017955,-0.09234968685534217,-0.47051743288632863,-0.01806668180207872,-1.1047598546703963,-2.0140776024286136,-3.2762210012875213,-0.8040727701089018,-0.2713606927335565
song,sad,strong,Dogs are sitting by the door,2nd,F,0.46550419991967423,0.0359020398944301,-0.15845115478978425,-1.1994468375497758,0.45172614887939716,0.8635638938192072,0.1694328391666301,1.439342700344883,-0.4321296402567005,-1.6018920575630295,0.24747996413728096,1.1522663682739631,1.7614390749990552,-1.6151352908691523,0.29963990228654536
song,sad,strong,Dogs are sitting by the door,2nd,F,0.5774886976205206,1.7654686446945096,-1.4106454312933174,-1.445440739636445,-0.7996697072667402,1.564278844014754,0.1824042156943038,0.10253655487655923,-0.416823787297986,1.5355375032037757,0.4039386789371593,-0.5997040084462046,1.3439712473439562,1.6813095048671924,-0.8478350908455726
speech,neutral,normal,Dogs are sitting by the door,2nd,F,-0.7613110435492993,-0.08067648263905593,-0.8994515934771194,-0.001823010585208297,0.7815082630827828,1.1507367122097056,0.193950321901555,-0.12835474924387677,-0.07466038522833632,-0.1552113129737364,-0.7432515148617008,-0.5112760902235979,-3.6401490650039774,-1.2156617849109967,-0.21102444166642786
speech,calm,normal,Dogs are sitting by the door,1st,F,-0.20305996545851301,-0.15111502787006154,-1.2031523644926725,-0.3881360425035623,-0.11060096986613308,-1.0884694029008997,0.37254494632455526,0.04351906938629859,-0.47051743288632863,-0.0784430129192256,-0.7083376853121848,-1.229109333915917,-2.4305568328575338,2.729799297069663,0.8819630030233988
speech,calm,strong,Kids are talking by the door,1st,F,0.6878017849079214,0.20408089207388536,-1.361162804210712,-1.739554091560322,-0.6240048859462549,-1.0884694029008997,0.19915566813641442,-0.568544218176923,-0.47051743288632863,0.000285914111941055,1.614351736315079,-1.8754592416623352,-2.5378969449771196,2.233812125397328,1.670229689442567
song,sad,normal,Kids are talking by the door,2nd,F,1.5803349456878013,0.7077983957607278,-2.1217297742877435,-1.1635896755115143,0.16609870318629694,-1.0884694029008997,0.17806273373436096,1.2324276733512431,-0.47051743288632863,0.36981251327188036,-1.3816727035601897,-0.7097241427276122,-0.19214913009843462,3.3891370475644664,-0.04705170191388517
song,sad,normal,Kids are talking by the door,2nd,F,1.3028808170558537,0.6095120535779293,-0.8270883482806966,-0.8317486039545241,0.32476673150814084,-1.0884694029008997,0.2746864057900375,0.918840831173748,-0.47051743288632863,-0.4520906725343859,-0.8240286864120238,-0.19031339210777115,0.5911292218737869,0.986740607389969,-0.5152341267828089
speech,calm,strong,Kids are talking by the door,1st,F,-0.20305996545851301,-0.6327181045657743,-1.1160285522405065,0.32252198315798997,0.7891159573068136,-1.0884694029008997,0.48031091683809773,0.3285869594605879,-0.47051743288632863,-0.5760253193295805,-0.2609710876264349,-2.260579166680303,-2.6973735124130687,0.44443318514707775,0.09663277330334011
